ID,Cross,RIX_ID,Sex,Cohort,Date of Assay,Treatment,Timepoint,Number of cells,MM R1 singles,MM R2 Viable Cells,MM R3 LCA+ non-AF cells,MM R3 LCA+ AF cells,MM R5 CD11c+ cells,MM R6 Neutrophils,MM R7 SigLecF+ cells,MM R7 R8 Alveolar Macs,MM R8 Eosinophils,MM R9 P DCs,MM R10 Mo DCs,MM R11 CD11b Hi DCs,MM R12 Monocytes,MM R13 Lymphocytes,MM R14 Ly 6C Low Monos,MM R15 Ly 6C Hi Monos,LYM R1 Singles,LYM R2 Viable Cells,LYM R3 Viable Lcs,LYM R4 LCA+ lcs,LYM R5 T Cells,LYM R6 CD4 T Cells,LYM R7 CD8 T Cells,LYM R8 B Cells,LYM R9 NK Cells,DC R1 Singles,DC R2 Viable Cells,DC R3 LCA+ cells,DC R3 R4 lin- cells,DC R4 Lin Pos Cells,DC R5 CD11c+ cells,DC R6 CD8 DCs,DC R7 CD103 DCs,DC R8 CD205 DCs,DC R9 CD326 DCs,DC R10 CD205+ CD103- DCs,DC R12 CD205+ CD103+ DCs,DC R12 CD205- CD103- DCs,DC R13 CD205- CD103+ DCs,Notes
16441x8005_82,16441x8005,82,f,5_13v,2013-05-24,Mock,4,1910000,228359,220413,61554,69967,47347,14435,29060,22348,5814,10,1318,1484,19419,42698,17697,2204,171466,156470,105845,74512,27526,11205,7647,14747,5809,198425,174299,111789,85283,26506,24393,12,1168,42,768,1917,27,22403,46,
16441x8005_86,16441x8005,86,f,5_13v,2013-05-24,Mock,4,2510000,187680,182967,38255,46525,37469,11921,22834,18770,3725,4,1069,819,12998,25574,11779,1471,98535,56915,32992,9930,874,620,79,184,296,258117,217316,117565,93747,23818,34465,24,1210,23,852,2049,29,32362,25,
16912x16211_97,16912x16211,97,f,6_13vi,2003-06-21,Mock,4,3800000,176618,171382,64685,21288,36293,2976,22118,21298,689,6,2703,2763,4500,45439,3803,738,198212,185100,78420,58092,21856,11021,9659,24181,2764,250195,232896,122278,62215,60063,40650,14,2460,23,4359,19,7,38014,2610,
16912x16211_98,16912x16211,98,f,6_13vi,2003-06-21,Mock,4,3350000,206238,199997,71605,25722,43396,4045,25897,24632,1098,10,2982,3717,5547,48799,4662,959,221933,208191,79578,59429,25195,13830,9590,21042,3719,255509,238469,120650,66063,54587,42613,27,2570,43,5554,41,7,39716,2849,
16912x16211_110,16912x16211,110,f,6_13vi,2003-06-21,Mock,4,3500000,203411,195663,69561,23582,42331,3652,25243,23052,1991,7,2914,3413,5333,45789,3992,1419,212862,198730,81830,56567,26299,14176,10868,17556,3732,31277,29255,14641,7883,6758,4755,2,324,3,529,3,0,4404,348,
16912x16211_150,16912x16211,150,f,7_13vii,2013-07-26,Mock,4,4815000,209624,175670,72005,41709,40517,11061,20146,16735,2174,30,4228,2885,9136,63336,8578,504,172136,142044,97830,73599,28174,15777,11126,20088,6158,159492,130393,92180,44306,47874,20275,14,399,12,4654,3106,937,6238,102,
16912x16211_154,16912x16211,154,f,7_13vii,2013-07-26,Mock,4,2814000,260773,210345,82628,61239,59225,10854,38016,32316,3813,36,4909,2735,9874,73324,9082,680,196822,158835,109449,82767,34475,19291,13872,21270,7935,222065,171572,126829,62604,64225,31871,14,481,24,5606,4060,1081,7524,165,
16912x16211_163,16912x16211,163,f,7_13vii,2013-07-26,Mock,4,2613000,239840,202289,69243,63287,60995,22412,25477,21239,2803,22,6765,3111,13335,56504,12241,950,186056,156952,98008,74160,25875,13007,11376,12154,7464,184600,149781,103988,60441,43547,25359,17,674,13,5039,4185,1532,7106,153,
3032x16188_14,3032x16188,14,f,7_13vii,2013-07-26,Mock,4,2546000,197763,166682,49321,73703,72625,6677,52422,26885,17664,64,8466,2063,10373,39388,7519,2940,192197,164212,91391,71512,20106,14138,4551,17712,5748,170694,139844,108094,67074,41020,29922,32,505,66,3060,6583,1183,5511,132,
3032x16188_53,3032x16188,53,f,7_13vii,2013-07-26,Mock,4,1742000,177320,148849,43276,75971,75272,14865,51285,24114,19219,20,5816,1218,9866,33851,7423,2508,205184,175396,96193,80498,21852,14827,5183,15498,7822,158421,129473,107201,69290,37911,26667,17,416,48,2584,5779,769,4247,182,
3252x8042_129,3252x8042,129,f,7_13vii,2013-07-26,Mock,4,4288000,285445,240265,107499,73191,72453,27418,30489,17762,9498,30,8549,4657,19485,89207,5413,13600,173493,137973,100928,81213,27183,17663,7206,22422,5390,249341,202880,157934,80676,77258,28538,19,507,20,4389,3561,954,10728,189,
3252x8042_110,3252x8042,110,f,7_13vii,2013-07-26,Mock,4,1809000,156395,125744,44163,49075,48536,15292,24221,9969,10602,10,5276,2984,8368,36415,3222,5090,153217,121630,79619,63360,22532,16165,4487,13052,4373,129347,101605,78597,45843,32754,17309,27,473,46,2781,3082,823,7101,138,
3252x8042_122,3252x8042,122,f,7_13vii,2013-07-26,Mock,4,2077000,159612,123267,40880,39913,39400,13909,16142,8645,5293,15,5966,2499,6195,35160,1833,4244,154569,121549,82425,60728,23021,16319,4812,11298,3894,158472,118781,86367,52460,33907,18930,13,471,24,3679,2522,746,8776,130,
8004x8043_16,8004x8043,16,f,7_13vii,2013-07-26,Mock,4,3417000,220741,188121,88523,58746,57704,14866,26042,18643,7073,22,11876,3856,16097,73464,3751,12321,188558,161677,112916,95654,45229,27404,14704,17246,6401,201877,157454,125403,61147,64256,22420,21,728,20,2400,4528,1571,4443,115,
8004x8043_17,8004x8043,17,f,7_13vii,2013-07-26,Mock,4,2479000,168166,140744,66423,46680,45894,10931,22045,17362,4416,16,8073,3317,23626,43622,4145,19422,171046,143624,102849,88729,29159,16779,8101,16958,10702,144777,114118,93787,51357,42430,18332,18,472,22,2025,4065,1204,3699,94,
8004x8043_23,8004x8043,23,f,7_13vii,2013-07-26,Mock,4,4958000,245962,210980,86880,71982,70964,20891,33840,24900,8576,14,11687,3491,12062,75414,3295,8700,191900,164079,113020,90626,37037,23835,11854,19303,6679,205994,171996,128378,63913,64465,28340,29,697,17,2095,5275,1753,4447,90,
3032x16441_4,3032x16441,4,f,10_13x,2013-10-18,Mock,4,3216000,122749,75689,23219,34630,33964,9364,16362,13152,3210,57,5903,1829,4726,18802,4067,611,119411,84824,56661,45042,11476,3506,1521,14925,1898,220769,151328,112236,61919,50317,23076,14,644,16,893,786,970,4809,150,
3032x16441_18,3032x16441,18,f,10_13x,2013-10-18,Mock,4,4288000,169245,103167,30875,46405,43825,4064,28631,23586,5045,46,7023,3320,8788,22461,8074,636,171995,117629,79303,58226,17116,4841,1802,12854,7038,90861,63970,45401,25916,19485,12649,4,463,10,692,514,633,1906,133,
3032x16441_19,3032x16441,19,f,10_13x,2013-10-18,Mock,4,3350000,214183,131934,24191,67057,65596,4680,52456,39292,13164,72,5041,1959,8474,16089,7450,932,155883,113245,60969,41335,16652,3201,1239,7769,8103,177040,127821,83524,56363,27161,28925,42,606,42,741,2005,866,2492,107,
