ID,Cross,RIX_ID,Sex,Cohort,Date of Assay,Treatment,Timepoint,Number of cells,MM R1 singles,MM R2 Viable Cells,MM R3 LCA+ non-AF cells,MM R3 LCA+ AF cells,MM R5 CD11c+ cells,MM R6 Neutrophils,MM R7 SigLecF+ cells,MM R7 R8 Alveolar Macs,MM R8 Eosinophils,MM R9 P DCs,MM R10 Mo DCs,MM R11 CD11b Hi DCs,MM R12 Monocytes,MM R13 Lymphocytes,MM R14 Ly 6C Low Monos,MM R15 Ly 6C Hi Monos,LYM R1 Singles,LYM R2 Viable Cells,LYM R3 Viable Lcs,LYM R4 LCA+ lcs,LYM R5 T Cells,LYM R6 CD4 T Cells,LYM R7 CD8 T Cells,LYM R8 B Cells,LYM R9 NK Cells,DC R1 Singles,DC R2 Viable Cells,DC R3 LCA+ cells,DC R3 R4 lin- cells,DC R4 Lin Pos Cells,DC R5 CD11c+ cells,DC R6 CD8 DCs,DC R7 CD103 DCs,DC R8 CD205 DCs,DC R9 CD326 DCs,DC R10 CD205+ CD103- DCs,DC R12 CD205+ CD103+ DCs,DC R12 CD205- CD103- DCs,DC R13 CD205- CD103+ DCs,Notes
3154x3609_121,3154x3609,,f,1_14i,2014-01-24,Mock,4,984000,243734,149198,90760,,43532,15361,26686,21033,5653,2,3150,1465,22648,24778,6538,1831,190506,116929,80958,45159,13555,8175,4767,7576,4739,327770,194992,123986,84619,39367,28122,12,843,119,754,2450,942,1151,43,
8010x16441_148,8010x16441,,f,1_14i,2014-01-24,Mock,4,2100000,252679,168290,110347,,51946,43798,17333,15353,1980,2,4188,725,44345,14753,11525,4010,186930,126380,80132,49969,10071,5581,3706,8047,5715,261670,165620,111309,71287,40022,17604,33,278,33,453,2179,325,358,5,
3154x3609_120,3154x3609,,f,1_14i,2014-01-24,Mock,4,1280000,280552,184842,107977,,41223,17021,22157,19437,2720,2,4596,1334,27907,39287,10610,3228,213579,145805,104264,59210,21172,11817,8477,13681,4558,283350,190687,126606,67546,59060,23291,7,403,62,707,3956,521,588,23,
3154x3609_133,3154x3609,,f,1_14i,2014-01-24,Mock,4,938000,209199,121940,64918,,35374,10679,22369,20387,1982,1,3243,1185,17292,12543,7030,1279,198566,117268,76691,36359,10209,5554,3805,3633,6724,283350,190687,126606,67546,59060,23291,7,403,62,707,3956,521,588,23,
3154x3609_134,3154x3609,,f,1_14i,2014-01-24,Mock,4,1800000,239464,152532,102996,,38722,13223,24896,20236,4660,2,3551,881,29000,35523,9916,4231,54055,36427,23645,14927,5416,2943,2212,4072,1055,258544,160163,113197,64592,48605,19555,7,473,48,465,1571,462,635,22,
8026x5080_14,8026x5080,,f,2_14ii,2014-02-21,Mock,4,1237500,24308,16952,16049,,7604,2292,4992,2310,2682,1,6,181,2035,6459,327,1664,38736,37791,22495,20810,8373,4098,3776,1001,7467,32751,23537,23147,11448,11699,3247,5,62,7,32,342,97,568,48,
8026x5080_15,8026x5080,,f,2_14ii,2014-02-21,Mock,4,1462500,54903,42591,40874,,28788,11916,16205,7647,8558,0,16,425,5418,6781,600,4643,76628,75443,26129,22798,5988,2494,2941,2167,5294,53045,41964,41231,31896,9335,8711,3,123,7,83,955,164,1395,90,
8026x5080_16,8026x5080,,f,2_14ii,2014-02-21,Mock,4,862500,50304,39891,37902,,23420,4898,14513,7599,6914,6,56,3601,5863,8746,790,4922,75983,75089,29802,27054,6043,3057,2420,2341,9350,51387,41667,40869,29083,11786,9985,6,156,21,128,2112,288,1139,38,
8048x8036_28,8048x8036,,f,2_14ii,2014-02-21,Mock,4,750000,37918,32063,30805,,21919,12052,9652,7456,2196,1,18,416,2890,6062,1610,756,34016,33799,10299,9681,3839,2038,1600,764,2284,13715,11151,10669,7742,2927,2789,7,71,10,83,1067,85,380,5,
8048x8036_37,8048x8036,,f,2_14ii,2014-02-21,Mock,4,487500,14460,9574,7917,,4668,1465,3003,2347,656,0,0,100,787,2473,498,159,12359,12136,3952,3358,1453,871,543,197,762,26616,21140,18503,13605,4898,6599,0,434,5,231,294,444,740,28,
8048x8036_38,8048x8036,,f,2_14ii,2014-02-21,Mock,4,825000,30402,23820,21879,,12876,6548,6156,4062,2094,0,11,315,2444,6599,1123,882,22513,22303,8584,8151,3723,2353,1167,409,1908,45643,45120,42842,30121,12721,12854,1,2238,27,1004,1395,1245,2146,278,
16513x15156_150,16513x15156,,f,2_14ii,2014-02-21,Mock,4,737500,45608,37443,35393,,26301,3994,21643,13633,8010,1,10,488,2425,6743,540,1711,55870,55476,13865,13075,3778,2494,1126,680,4896,64436,63720,60528,47727,12801,21611,2,1843,9,341,866,1610,1383,39,
16513x15156_151,16513x15156,,f,2_14ii,2014-02-21,Mock,4,750000,50531,38413,34714,,23627,1254,10855,6582,4273,231,270,10958,2809,8386,635,1714,37392,37085,12230,11309,4157,2458,1470,472,4475,45130,44583,39597,28612,10985,12042,2,1802,31,642,1513,1884,672,694,
16513x15156_152,16513x15156,,f,2_14ii,2014-02-21,Mock,4,637500,43487,34626,32340,,23090,844,14071,9255,4816,13,33,8195,2964,6350,730,1862,55049,54395,14540,13325,4936,2997,1679,768,4204,58729,57990,54613,42699,11914,18085,1,1470,26,464,1314,1163,948,85,
